job_posting_url,vacancies,job_posting_number,salary,start_publication_date,end_publication_date,required_experience,educational_background,specialization,required_knowledge,skills,job_title,public_institution,unique_id,ubication,day_scrapper,ubication_region,ubication_dist
https://www.gob.pe/institucion/regionamazonas-drtc/informes-publicaciones/6072729-proceso-de-seleccion-cas-n-004-2024-drtc-a,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-4,3500.0,10/10/2024,23/10/2024,EXPERIENCIA GENERAL: CUATRO (04) AÑOS EN ENTIDADES PÚBLICAS Y/O PRIVADAS. EXPERIENCIA ESPECÍFICA: A. DOS (02) AÑOS EXPERIENCIA ESPECÍFICA EN EL SECTOR PÚBLICO: DOS (02) AÑOS EN OFICINAS CON FINES AL ÁREA.,"TÍTULO UNIVERSITARIO EN ADMINISTRACIÓN, ECONOMÍA, CONTABILIDAD, FINANZAS, INGENIERÍA ECONÓMICA O INGENIERÍA INDUSTRIAL","CONTRATACIONES CON EL ESTADO CONOCIMIENTOS PARA EL PUESTO Y/O CARGO: GESTIÓN DE LOS BIENES MUEBLES Y/O BIENES INMUEBLES ESTATALES / CONOCIMIENTO DE PROCESADOR DE TEXTOS INTERMEDIO/HOJAS DE CÁLCULO BÁSICO/PROGRAMA DE PRESENTACIONES BÁSICO, CADENA DE SUMINISTRO, GESTIÓN DE ALMACÉN, LOGÍSTICA, SIGA – MÓDULO PATRIMONIO O SIMILARES. (MÍNIMO 120 HORAS)","GESTIÓN PÚBLICA, MANEJO DE SIGA MEF – MÓDULO ALMACÉN, PATRIMONIO Y DE MÉTODOS DE VALORACIÓN DE INVENTARIOS (PEPS Y PROMEDIO), SISTEMA DE INFORMACIÓN NACIONAL DE BIENES ESTATALES – SINABIP, OFIMÁTICA NIVEL BÁSICO","RESPONSABILIDAD, PROACTIVIDAD, ATENCIÓN, VOCACIÓN DE SERVICIO Y TRABAJO EN EQUIPO.",RESPONSABLE DE CONTROL PATRIMONIAL,Direccion Regional De Transportes Y Comunicaciones Amazonas,c9b86b6d-e899-5128-8a9b-8aca935ff433,AMAZONAS - CHACHAPOYAS,10-10-2024,AMAZONAS , CHACHAPOYAS
http://convocatorias.juntos.gob.pe:8080/postula/inicio,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-245,2000.0,10/10/2024,23/10/2024,"- EXPERIENCIA GENERAL DE DOS (02) AÑOS EN EL SECTOR 
PÚBLICO Y/O PRIVADO.
- EXPERIENCIA ESPECÍFICA MÍNIMA DE UN (01) AÑO A 
PARTIR DEL NIVEL MÍNIMO DE PRACTICANTE PROFESIONAL 
EN FUNCIONES SIMILARES AL PUESTO, EN PROGRAMAS O 
PROYECTOS RELACIONADOS A LA INFANCIA, NIÑEZ, 
ADOLESCENCIA, FAMILIAS O COMUNIDADES.","TÍTULO TÉCNICO SUPERIOR O EGRESADO UNIVERSITARIO, O  BACHILLER O TÍTULO UNIVERSITARIO EN TODAS LAS  CARRERAS.",CURSO EN CAPACITACIÓN DE ADULTOS O DESARROLLO  COMUNITARIO O GESTIÓN PÚBLICA O RESOLUCIÓN DE  CONFLICTOS O LIDERAZGO O RELACIONADOS A TEMAS DE  SALUD MATERNO INFANTIL O DESARROLLO INFANTIL  TEMPRANO (DIT) O CURSOS RELACIONADOS AL ACCESO  DE LA EDUCACIÓN INICIAL - (8 HORAS),- CONOCIMIENTO DE LA ZONA DE INTERVENCIÓN. - CONOCIMIENTO DE OFIMÁTICA A NIVEL BÁSICO.,- MANEJO DE EQUIPOS - VOCACIÓN DE SERVICIO - ORIENTACIÓN A RESULTADOS - RELACIONES INTERPERSONALES - INTEGRIDAD Y COMPORTAMIENTO ÉTICO,GESTOR LOCAL PARA LA UNIDAD TERRITORIAL AMAZONAS BAGUA,Programa Nacional De Apoyo Directo A Los Mas Pobres,7fc1595e-53b0-5b0f-9970-dfccac9a0e4b,AMAZONAS - BAGUA,10-10-2024,AMAZONAS , BAGUA
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,3000.0,07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  02 AÑOS EN EL SECTOR PÚBLICO Y/O PRIVADO EN FUNCIONES RELACIONADOS CON EL SISTEMA DE MANEJO DE LOGÍSTICA, DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 01 AÑO DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES.","-	TÍTULO PROFESIONAL, BACHILLER O TÉCNICO EN LAS CARRERAS DE ADMINISTRACIÓN, CONTABILIDAD, COMPUTACIÓN Y/O CARRERAS AFINES.",NINGUNA,-	CONOCIMIENTOS EN PROCESO DE COTIZACIÓN DE PRECIOS DE BIENES O SERVICIOS QUE SE NECESITAN EN LOS GOBIERNOS LOCALES.,"-	PROACTIVIDAD E INTEGRIDAD, CAPACIDAD ANALÍTICA Y ESCUCHA ACTIVA, BUENA REDACCIÓN.",COTIZADOR,Municipalidad Provincial Bagua,b82c4956-9c83-50ea-8996-1916fdd9f3ae,AMAZONAS - BAGUA,10-10-2024,AMAZONAS , BAGUA
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,2000.0,07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  02 AÑOS EN EL SECTOR PÚBLICO Y/O PRIVADO EN FUNCIONES RELACIONADOS AL CARGO, DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 01 AÑO DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES EN FUNCIÓN DEL PUESTO.",-	BACHILLER Y/O TITULADO EN LAS CARRERAS DE DERECHO Y CIENCIAS POLÍTICAS.,NINGUNA,-	CONOCIMIENTO EN FISCALIZACIÓN EN LA GESTIÓN PÚBLICA.,"-	RESPONSABLE, PROACTIVO, PUNTUALIDAD Y TRABAJO EN EQUIPO.",FISCALIZADOR.,Municipalidad Provincial Bagua,63556620-236b-5553-8d06-fb4125ce367b,AMAZONAS - BAGUA,10-10-2024,AMAZONAS , BAGUA
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,3000.0,07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  01 AÑO EN EL SECTOR PÚBLICO Y/O PRIVADO EN FUNCIONES RELACIONADOS AL CARGO, DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 01 AÑO DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES, 08 MESES DE EXPERIENCIA EN EL SECTOR PÚBLICO.",-	TITULO PROFESIONAL EN LAS CARRERAS DE INGENIERÍA DE SISTEMAS O INGENIERÍA INFORMÁTICA Y/O AFINES.,NINGUNA,-	CONOCIMIENTO EN GESTIÓN MUNICIPAL. -	PROGRAMAS DE SISTEMA DE GESTIÓN DE RECURSOS HUMANOS.,"-	PROACTIVIDAD E INTEGRIDAD, CAPACIDAD ANALÍTICA Y ESCUCHA ACTIVA.",JEFE DE OFICINA DE TECNOLOGIA DE LA INFORMACIÓN.,Municipalidad Provincial Bagua,af332218-df66-5da6-905b-60712624a29c,AMAZONAS - BAGUA,10-10-2024,AMAZONAS , BAGUA
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,5100.0,07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  05 AÑOS EN EL SECTOR PÚBLICO Y/O PRIVADO EN FUNCIONES RELACIONADOS AL CARGO, DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 03 AÑOS DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES.","-	TÍTULO PROFESIONAL EN LAS CARRERAS DE INGENIERÍA CIVIL, AMBIENTAL, AGRÍCOLA O CARRERAS A FIN.",NINGUNA,-	CONTAR CON AMPLIOS CONOCIMIENTOS DE GESTIÓN PÚBLICA EN GOBIERNOS LOCALES.,"-	CAPACIDAD ANALÍTICA PARA LA TOMA DE DECISIONES, FACILIDAD DE COMUNICACIÓN ORAL Y ESCRITA, POSEER LIDERAZGO Y DON DE MANDO, CAPACIDAD PARA RELACIONARSE A TODO NIVEL, CAPACIDAD DE INNOVACIÓN, SOLVENCIA ÉTICA Y MORAL.",GERENTE DE INSTITUTO VIAL PROVINCIAL.,Municipalidad Provincial Bagua,92ce089d-1ebc-5a47-857d-da0191d79c5b,AMAZONAS - BAGUA,10-10-2024,AMAZONAS , BAGUA
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,3000.0,07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  05 AÑOS EN EL SECTOR PÚBLICO Y/O PRIVADO DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 03 AÑOS DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES.",-	TITULO UNIVERSITARIO EN LA CARRERA PROFESIONAL DE CONTABILIDAD.,NINGUNA,-	CONTAR CON CONOCIMIENTOS EN LA GESTIÓN PÚBLICA EN GOBIERNOS LOCALES.,"-	CAPACIDAD ANALÍTICA PARA LA TOMA DE DECISIONES, FACILIDAD DE COMUNICACIÓN ORAL Y ESCRITA, POSEER LIDERAZGO Y DON DE MANDO, CAPACIDAD PARA RELACIONARSE A TODO NIVEL, CAPACIDAD DE INNOVACIÓN, SOLVENCIA ÉTICA Y MORAL.",ESPECIALISTA DE CONTABILIDAD,Municipalidad Provincial Bagua,c4c50fc4-63ec-56f2-9568-71f6791c3986,AMAZONAS - BAGUA,10-10-2024,AMAZONAS , BAGUA
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,1800.0,07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  01 AÑO EN EL SECTOR PÚBLICO Y/O PRIVADO EN FUNCIONES RELACIONADOS AL CARGO, DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 06 MESES DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES.","-	TÉCNICO EN LAS CARRERAS DE ADMINISTRACIÓN, CONTABILIDAD, COMPUTACIÓN E INFORMÁTICA Y/O CARRERAS AFINES.",NINGUNA,-	CONOCIMIENTOS TÉCNICOS RESPECTO AL MANEJO DE OFIMÁTICA.,"-	PROACTIVIDAD E INTEGRIDAD, CAPACIDAD ANALÍTICA Y ESCUCHA ACTIVA.",AUXILIAR DE ABASTECIMIENTO,Municipalidad Provincial Bagua,70d9197e-e429-51ab-8d77-4ca7708c4472,AMAZONAS - BAGUA,10-10-2024,AMAZONAS , BAGUA
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,2000.0,07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  02 AÑOS EN EL SECTOR PÚBLICO Y/O PRIVADO EN FUNCIONES RELACIONADOS AL CARGO, DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 01 AÑO DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES.","TÍTULO PROFESIONAL, BACHILLER O TÉCNICO EN LAS CARRERAS DE ADMINISTRACIÓN, CONTABILIDAD, ECONOMÍA Y/O CARRERAS AFINES.",NINGUNA,"-	CONOCIMIENTOS TÉCNICOS, RESPECTO AL MANEJO DE BIENES PATRIMONIALES.","-	PROACTIVIDAD E INTEGRIDAD, CAPACIDAD ANALÍTICA Y ESCUCHA ACTIVA, BUENA REDACCIÓN.",TÉCNICO ADMINISTRATIVO DE ALMACÉN,Municipalidad Provincial Bagua,39a87a55-40e7-54c7-9044-5d0a14279284,AMAZONAS - BAGUA,10-10-2024,AMAZONAS , BAGUA
https://www.gob.pe/institucion/ugelutcubamba/informes-publicaciones,1,276-13,2088.45,04/10/2024,18/10/2024,"EXPERIENCIA GENERAL: EXPERIENCIA LABORAL YA SEA EN EL SECTOR PÚBLICO O PRIVADO, DE ACUERDO A LA FICHA DE EVALUACIÓN DE PERSONAL – GRUPO TÉCNICO.
EXPERIENCIA ESPECÍFICA: EXPERIENCIA LABORAL EN EL SECTOR PÚBLICO O PRIVADO, EN FUNCIÓN AL PUESTO REQUERIDO, DE ACUERDO A LA FICHA DE EVALUACIÓN DE PERSONAL – TÉCNICO.","PROFESIONAL TÉCNICO EN CONTABILIDAD, ADMINISTRACIÓN, COMPUTACIÓN E INFORMÁTICA U OTRO TÍTULO PROFESIONAL TÉCNICO RELACIONADO CON EL CARGO.",NO APLICA,"CONOCIMIENTOS SOBRE DOCUMENTOS DE GESTIÓN: TUPA, MAPRO, MOF, ROF, MOP, RI. CONOCIMIENTOS SOBRE LOS PLAZOS, SEGÚN LA LEY N° 27444, LEY DEL PROCEDIMIENTO ADMINISTRATIVO GENERAL. MANEJO DE COMPUTADORA A NIVEL USUARIO Y DE APLICATIVOS INFORMÁTICOS RELACIONADOS CON LA ACTIVIDAD.","EMPATÍA, COMUNICACIÓN, TOLERANCIA, ORDEN, TRABAJO EN EQUIPO.",TECNICO ADMINISTRATIVO III,Unidad De Gestion Educativa Local De Utcubamba - Ugel-Utcubamba,f533021b-4b7e-50c1-b5ca-135ce64d1cc2,AMAZONAS - BAGUA GRANDE,10-10-2024,AMAZONAS , BAGUA GRANDE
