job_posting_url,vacancies,job_posting_number,salary,start_publication_date,end_publication_date,required_experience,educational_background,specialization,required_knowledge,skills,job_title,public_institution,ubication,ubication_region,ubication_dist,day_data_extract_dmy,uuid,experience_months,min_education
https://http://convocatorias.juntos.gob.pe:8080/postula/inicio,2,D.Leg 1057 - Determinado (Necesidad Transitoria)-280,2000.0,25/11/2024,06/12/2024,- Experiencia General De Dos (02) Años En El Sector Público Y/O Privado. - Experiencia Específica De Un (01) Año A Partir Del Nivel Mínimo De Practicante Profesional En Funciones Similares Al Puesto.,"- Título Técnico Superior O Egresado Universitario, O Bachiller O Título Universitario En Todas Las Carreras.","- Curso En Gestión Pública, Desarrollo Comunitario, Resolución De Conflictos, Liderazgo, Metodologías O Técnicas Para La Enseñanza En Adultos, Desarrollo Infantil Temprano, Relacionados A La Salud Materno Infantil O Afines (Mínimo 8 Horas Acumuladas).",- Conocimiento De La Zona De Intervención. - Conocimiento De Ofimática A Nivel Básico.,- Manejo De Equipos - Vocación De Servicio - Orientación A Resultados - Relaciones Interpersonales - Integridad Y Comportamiento Ético,Gestores Locales,Programa Nacional De Apoyo Directo A Los Mas Pobres,AMAZONAS - NIEVA,AMAZONAS,NIEVA,25-11-2024,5b1c21e3-7749-4d51-bf1b-c4ebc7e8222b,24,tecnico
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-03,2500.0,21/11/2024,04/12/2024,"- Experiencia General: 01 Año En El Sector Público Y/O Privado En Funciones Relacionados Al Cargo, Debidamente Comprobados. - Experiencia Específica: 06 Meses De Experiencia En El Sector Público En Puestos Similares O Equivalentes En Función Del Puesto.",- Bachiller Y/O Titulado En Las Carreras De Derecho Y Ciencias Políticas.,Ninguna,- Conocimiento En Fiscalización En La Gestión Pública.,"- Responsable, Proactivo, Puntualidad Y Trabajo En Equipo.",Fiscalizador,Municipalidad Provincial Bagua,AMAZONAS - BAGUA,AMAZONAS,BAGUA,25-11-2024,ac7018eb-927f-4f34-a3f2-01b2ccdd0a02,12,bachiller
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-03,3500.0,21/11/2024,04/12/2024,"- Experiencia General: 02 Años En El Sector Público Y/O Privado, Debidamente Comprobados. - Experiencia Específica: 01 Año De Experiencia En El Sector Público En Puestos Similares O Equivalentes Relacionado Al Cargo Que Postula.","- Bachiller O Título Profesional En Ingenierías: Agroindustrial, Forestal, Agronomía, Zootecnista; Otros Afines., Contabilidad, Computación Y/O Carreras Afines.",Ninguna,"- Contar Con Conocimientos En La Formalización, Constitución De Organizaciones Productivas, Elaboración De Planes De Negocios, Formulación De Proyectos Agropecuarios, Pecuarios, Forestales Y Cadenas De Valor Vinculados Al Sector.","- Proactividad E Integridad, Capacidad Analítica Y Escucha Activa, Buena Redacción.",Especialista En Desarrollo Productivo,Municipalidad Provincial Bagua,AMAZONAS - BAGUA,AMAZONAS,BAGUA,25-11-2024,a2262e2a-b3e8-42a0-af55-7b551488b362,24,bachiller
https://app.inia.gob.pe/convocatorias/,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-602,2500.0,21/11/2024,04/12/2024,Dos (02) Años De Experiencia General. Uno (01) Año De Experiencia Específica En La Función O La Materia. Seis (06) Meses De Experiencia Especifica Relacionado En Proyectos Y/O Investigaciones En El Sector Agrario O Afines.,Egresado Técnico Básico Y/O Superior Y/O Egresado Universitario En Agropecuario O Afines Por La Formación.,Cursos De Capacitación En Materia Agrícola Y/O Manejo Agrónomico O Afines (Mínimo 12 Horas Acumuladas).,"Conocimientos Técnicos De Labores De Campo Como Deshierbos, Abonamiento, Podas, Control Fitosanitario. Conocimientos De Procesador De Texto, Hojas De Calculo Y Programa De Presentaciones A Nivel Básico.","Honradez, Responsabilidad Y Trabajo En Equipo",Asistente(A) De Campo En Conservación De Recursos Fitogenéticos,Instituto Nacional De Innovacion Agraria,AMAZONAS - HUANCAS,AMAZONAS,HUANCAS,25-11-2024,d6b8fe6d-5fd5-4ec1-8ff2-0e0a48bd7f5f,24,tecnico
https://apps.proviasdes.gob.pe/pvdcap/,1,728-023,2000.0,21/11/2024,04/12/2024,General: •Experiencia Laboral Mínima De Dos (02) Años En El Sector Público Y/O Privado. Específica: •Experiencia De Un (01) Año En Funciones Similares En El Sector Público O Privado.,•Secundaria Completa (Adjuntar Certificado). Licencia Vigente De Conducir Profesional O Categoría Aii.,•Cursos De Capacitación De Mecánica Y/O Tránsito Y/O Primeros Auxilios Y/O Relacionada Al Cargo (20 Horas Acumulables).,"•Conocimiento De Rutas En Vías Interprovinciales A Nivel Regional O Nacional, Reglamento Nacional De Tránsito, Mecánica Automotriz.",•Cooperación. •Empatía. •Sentido De Responsabilidad.,Chofer I,Provias Descentralizado,AMAZONAS - BAGUA,AMAZONAS,BAGUA,25-11-2024,850f46b4-0d1d-4357-84c0-73ea024a74fc,24,secundaria
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-03,2800.0,21/11/2024,04/12/2024,"- Experiencia General: 01 Año En El Sector Público Y/O Privado En Funciones Relacionados Al Cargo, Debidamente Comprobados. - Experiencia Específica: 06 Meses De Experiencia En El Sector Público En ´Puestos Similares O Equivalentes Al Cargo Que Postula.",- Bachiller Y/O Título Profesional En Derecho Y Ciencias Políticas.,Ninguna,- Contar Con Amplios Conocimientos De Gestión Pública.,"- Capacidad Analítica Para La Toma De Decisiones, Facilidad De Comunicación Oral Y Escrita, Poseer Liderazgo Y Don De Mando, Capacidad Para Relacionarse A Todo Nivel, Capacidad De Innovación, Solvencia Ética Y Moral.",Asistente Legal,Municipalidad Provincial Bagua,AMAZONAS - BAGUA,AMAZONAS,BAGUA,25-11-2024,b8216e95-7f3f-4e90-9d04-291c28e4ae1f,12,bachiller
https://www.osinergmin.gob.pe/seccion/institucional/oportunidades-laborales/bienvenidos-a-osinergmin,1,728-016,6500.0,20/11/2024,03/12/2024,A) Experiencia General Mínima De 03 Años B) Experiencia Específica (Desarrollando Funciones Similares) 02 Años Desde Puestos De Asistente O Equivalente,"Grado De Bachiller Otorgado Por Universidad En La Carrera De Ingeniería, Administración, Derecho, Contabilidad, Comunicación, Periodismo, Economía, Trabajo Social O Sociología.",Programa De Especialización De 90 Horas O 90 Horas Acumuladas En Cursos En Los Últimos 10 Años En: Atención Al Cliente Y/O Servicio Al Cliente Y/O Gestión De La Energía Y/O Gestión De Reclamos Y/O Afines.,"Conocimientos Técnicos En Regulación Y Fiscalización De La Energía, Y Atención Al Cliente. Office (Word, Excel, Power Point, Nivel Intermedio) E Inglés (Nivel Básico).","Trabajo Colaborativo, Orientación Al Resultado, Innovación Y Vocación De Servicio.",Especialista Regional En Atención Al Ciudadano,Organismo Supervisor De La Inversion En Energia Y Mineria,AMAZONAS - CHACHAPOYAS,AMAZONAS,CHACHAPOYAS,25-11-2024,326e89be-f70a-425a-8449-bcdb71f49bb3,36,bachiller
https://portal.mpfn.gob.pe/convoca/convocatorias,1,728-14,4672.11,20/11/2024,03/12/2024,"2 Años, Experiencia Laboral General. (Incluyendo Secigra), 1 Año, Experiencia Profesional Específica En Funciones Relacionadas Al Puesto, En El Sector Público",Bachiller Universitario En La Carrera De Derecho,"Contar Con Programa De Especialización En En Derecho Penal Y/O Derecho Procesal Penal Y/O Nuevo Código Procesal Penal,, No Menor A (90) Horas Academicas,No Acumulable Contar Con Cursos, Talleres, Seminarios En En La Ley Del Procedimiento Administrativo Ley 27444, Derecho Constitucional, Litigación Oral, No Menor A (12) Horas Academicas,Acumulable Contar Con Cursos, Talleres, Seminarios En Derecho Penal Y/O Derecho Procesal Penal Y/O Nuevo Código Procesal Pena, No Menor A (12) Horas Academicas,Acumulable",Ortografia Y Gramática - Argumentación Y Redacción Juridica,"Trabajo En Equipo / Cooperación , Vocación De Servicio, Orientación A Resultados, Comunicación Asertiva",Asistente En Funcion Fiscal,Ministerio Publico - Gerencia Administrativa De Amazonas,AMAZONAS - CHACHAPOYAS,AMAZONAS,CHACHAPOYAS,25-11-2024,242a189f-5e85-4079-876f-a89584e14258,0,bachiller
https://portal.mpfn.gob.pe/convoca/convocatorias,1,728-14,4672.11,20/11/2024,03/12/2024,"2 Años, Experiencia Laboral General. (Incluyendo Secigra), 1 Año, Experiencia Profesional Específica En Funciones Relacionadas Al Puesto, En El Sector Público",Bachiller Universitario En La Carrera De Derecho,"Contar Con Programa De Especialización En En Derecho Penal Y/O Derecho Procesal Penal Y/O Nuevo Código Procesal Penal,, No Menor A (90) Horas Academicas,No Acumulable Contar Con Cursos, Talleres, Seminarios En En La Ley Del Procedimiento Administrativo Ley 27444, Derecho Constitucional, Litigación Oral, No Menor A (12) Horas Academicas,Acumulable Contar Con Cursos, Talleres, Seminarios En Derecho Penal Y/O Derecho Procesal Penal Y/O Nuevo Código Procesal Pena, No Menor A (12) Horas Academicas,Acumulable",Ortografia Y Gramática - Argumentación Y Redacción Juridica,"Trabajo En Equipo / Cooperación , Vocación De Servicio, Orientación A Resultados, Comunicación Asertiva",Asistente En Funcion Fiscal,Ministerio Publico - Gerencia Administrativa De Amazonas,AMAZONAS - BAGUA,AMAZONAS,BAGUA,25-11-2024,f215bb08-bec4-4cf0-b6b2-bc8344ae4ebc,0,bachiller
https://portal.mpfn.gob.pe/convoca/convocatorias,1,728-14,4672.11,20/11/2024,03/12/2024,"2 Años, Experiencia Laboral General. (Incluyendo Secigra), 1 Año Deexperiencia Profesional Específica En Funciones Relacionadas Al Puesto, En El Sector Público",Bachiller Universitario En La Carrera De Derecho,"Contar Con Programa De Especialización En En Derecho Penal Y/O Derecho Procesal Penal Y/O Nuevo Código Procesal Penal, No Menor A (90) Horas Academicas,No Acumulable Contar Con Cursos, Talleres, Seminarios En En La Ley Del Procedimiento Administrativo Ley 27444, Derecho Constitucional, Litigación Oral, No Menor A (12) Horas Academicas,Acumulable Contar Con Cursos, Talleres, Seminarios En Derecho Penal Y/O Derecho Procesal Penal Y/O Nuevo Código Procesal Pena, No Menor A (12) Horas Academicas,Acumulable",Argumentación Y Redacción Juridica - Ortografia Y Gramática,"Trabajo En Equipo / Cooperación , Vocación De Servicio, Orientación A Resultados, Comunicación Asertiva",Asistente En Funcion Fiscal,Ministerio Publico - Gerencia Administrativa De Amazonas,AMAZONAS - CHACHAPOYAS,AMAZONAS,CHACHAPOYAS,25-11-2024,9ea0e255-f868-4f2b-81b4-843e628c439f,0,bachiller
