job_posting_url,vacancies,job_posting_number,salary,start_publication_date,end_publication_date,required_experience,educational_background,specialization,required_knowledge,skills,job_title,public_institution,ubication,ubication_region,ubication_dist,day_data_extract_dmy,uuid,experience_months,min_education
https://extranet.cunamas.gob,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-1296,3814.19,20/12/2024,03/01/2025,• Experiencia Laboral General De 03 Años. • Experiencia Laboral Especifica De Dos (02) Años En Cargos Similares En El Sector Público,"• Título Profesional Universitario En Derecho, Colegiado Y Habilitado.",• Cursos Y/O Capacitación En Temas Relacionados Al Puesto (Últimos 5 Años).,"• Con Conocimiento En Gestión Pública Y/O Sistemas Administrativos Del Estado Relacionados A La Materia Y Conocimientos En Derecho Notarial, Registral Y Penal. • Con Conocimiento De Ofimática Intermedia (Word, Excel, Power Point). • Disponibilidad Para Viajar Constantemente Fuera Y Dentro Del Departamento.","• Análisis, Planificación, Control Y Negociación",Abogado,Programa Nacional Cuna Mas,CALLAO - CALLAO,CALLAO,CALLAO,25-12-2024,968329b5-c16c-42e3-9d7a-6386eb9f58fc,36,colegiado
https://http://extranet.corpac.gob.pe/pash/bienvenida,1,728-069,2200.0,19/12/2024,02/01/2025,"- Acreditar Como Mínimo Dos (2) Años De Experiencia Laboral En Actividades Relacionadas A Las Contrataciones En El Sector Público O Privado, O Un (1) Año De Prácticas Preprofesionales O Profesionales En Instituciones Públicas En Temas Vinculados A Contrataciones Con El Estado.","- Egresado De Instituto Superior Con Un Mínimo De Tres (3) Años, O Dos (2) Años De Estudios Universitarios En Derecho, O Bachiller En Derecho","- Capacitación En Contrataciones Del Estado, Expedida Por Universidad O Institución De Prestigio, Con Un Mínimo De 350 Horas En Contrataciones Públicas, Con Una Antigüedad No Mayor De Cinco (5) Años.","- Contar Con La Certificación Otorgada Por El Osce Vigente. - Conocimientos De Sistemas Informáticos (Office) A Nivel De Usuarios, Acreditado Con Certificado O Declaración Jurada.","- Vocación De Servicio - Proactividad - Aprendizaje Continuo Y Autogestión - Comunicación Efectiva - Dominio De Herramientas, Instrumentos Y Sistemas De Apoyo A La Actividad",Asistente Administrativo II,Corporacion Peruana De Aeropuertos Y Aviacion Comercial Sociedad Anonima - Corpac S.A.,CALLAO - CALLAO,CALLAO,CALLAO,25-12-2024,692ebed3-3cb8-4de1-9378-59251925f97b,24,tecnico
https://www.gob.pe/ugelventanilla,1,276-89,2321.65,16/12/2024,30/12/2024,No Aplica,Secundaria Completa,No Aplica,No Aplica,No Aplica,Trabajador De Servicio,Unidad De Gestion Educativa Local- Ventanilla,CALLAO - VENTANILLA,CALLAO,VENTANILLA,25-12-2024,244a76dd-e82d-426d-b561-44f82615c304,0,secundaria
https://app.municallao.gob.pe/convocatorias/convocatoria-cas,20,D.Leg 1057 - Determinado (Necesidad Transitoria)-040,2000.0,13/12/2024,27/12/2024,Un (01) Año De Experiencia General En El Sector Publico O Privado. Tres(03) Meses De Experiencia Especifica En La Funcion O La Materia.,Secunaria Completa,Derecho De Transporte Y Pas En Infracciones De Transito,"Ley General De Transporte, Textoo Unico Ordenado De La Ley N° 27444, Ley Del Procedimiento Administrativo General.","Integridad, Autocontrol, Responsabilidad, Comunicacion Asertiva Y Trabajo En Equipo",Inspectores De Transporte,Municipalidad Provincial Del Callao,CALLAO - CALLAO,CALLAO,CALLAO,25-12-2024,bb6ecfb2-bd5a-4fd9-a7f9-0e1c3e3d4936,0,
https://app.municallao.gob.pe/convocatorias/convocatoria-cas,20,D.Leg 1057 - Determinado (Necesidad Transitoria)-040,2000.0,13/12/2024,27/12/2024,Un (01) Año De Experiencia General En El Sector Publico O Privado. Tres(03) Meses De Experiencia Especifica En La Funcion O La Materia.,Secunaria Completa,Derecho De Transporte Y Pas En Infracciones De Transito,"Ley General De Transporte, Textoo Unico Ordenado De La Ley N° 27444, Ley Del Procedimiento Administrativo General.","Integridad, Autocontrol, Responsabilidad, Comunicacion Asertiva Y Trabajo En Equipo",Inspectores De Transporte,Municipalidad Provincial Del Callao,CALLAO - CALLAO,CALLAO,CALLAO,25-12-2024,f0233ce0-948b-4bb9-adb0-ba184d922489,0,
https://app.municallao.gob.pe/convocatorias/convocatoria-cas,20,D.Leg 1057 - Determinado (Necesidad Transitoria)-040,2000.0,13/12/2024,27/12/2024,Un (01) Año De Experiencia General En El Sector Publico O Privado. Tres(03) Meses De Experiencia Especifica En La Funcion O La Materia.,Secunaria Completa,Derecho De Transporte Y Pas En Infracciones De Transito,"Ley General De Transporte, Textoo Unico Ordenado De La Ley N° 27444, Ley Del Procedimiento Administrativo General.","Integridad, Autocontrol, Responsabilidad, Comunicacion Asertiva Y Trabajo En Equipo",Inspectores De Transporte,Municipalidad Provincial Del Callao,CALLAO - CALLAO,CALLAO,CALLAO,25-12-2024,0c5be932-cbbd-43c1-b3ae-d0ec046ee156,0,
https://app.municallao.gob.pe/convocatorias/convocatoria-cas,20,D.Leg 1057 - Determinado (Necesidad Transitoria)-040,2000.0,13/12/2024,27/12/2024,Un (01) Año De Experiencia General En El Sector Publico O Privado. Tres(03) Meses De Experiencia Especifica En La Funcion O La Materia.,Secunaria Completa,Derecho De Transporte Y Pas En Infracciones De Transito,"Ley General De Transporte, Textoo Unico Ordenado De La Ley N° 27444, Ley Del Procedimiento Administrativo General.","Integridad, Autocontrol, Responsabilidad, Comunicacion Asertiva Y Trabajo En Equipo",Inspectores De Transporte,Municipalidad Provincial Del Callao,CALLAO - CALLAO,CALLAO,CALLAO,25-12-2024,9a157e68-08f1-4474-afb1-392f024e9a6d,0,
https://app.municallao.gob.pe/convocatorias/convocatoria-cas,20,D.Leg 1057 - Determinado (Necesidad Transitoria)-040,2000.0,13/12/2024,27/12/2024,Un (01) Año De Experiencia General En El Sector Publico O Privado. Tres(03) Meses De Experiencia Especifica En La Funcion O La Materia.,Secunaria Completa,Derecho De Transporte Y Pas En Infracciones De Transito,"Ley General De Transporte, Textoo Unico Ordenado De La Ley N° 27444, Ley Del Procedimiento Administrativo General.","Integridad, Autocontrol, Responsabilidad, Comunicacion Asertiva Y Trabajo En Equipo",Inspectores De Transporte,Municipalidad Provincial Del Callao,CALLAO - CALLAO,CALLAO,CALLAO,25-12-2024,aa3a669b-4f76-4a90-a6f4-595dc1e8a86f,0,
https://app.municallao.gob.pe/convocatorias/convocatoria-cas,20,D.Leg 1057 - Determinado (Necesidad Transitoria)-040,2000.0,13/12/2024,27/12/2024,Un (01) Año De Experiencia General En El Sector Publico O Privado. Tres(03) Meses De Experiencia Especifica En La Funcion O La Materia.,Secunaria Completa,Derecho De Transporte Y Pas En Infracciones De Transito,"Ley General De Transporte, Textoo Unico Ordenado De La Ley N° 27444, Ley Del Procedimiento Administrativo General.","Integridad, Autocontrol, Responsabilidad, Comunicacion Asertiva Y Trabajo En Equipo",Inspectores De Transporte,Municipalidad Provincial Del Callao,CALLAO - CALLAO,CALLAO,CALLAO,25-12-2024,d2614dcd-fd8a-49dc-bc7b-a1f273608ef0,0,
https://app.municallao.gob.pe/convocatorias/convocatoria-cas,20,D.Leg 1057 - Determinado (Necesidad Transitoria)-040,2000.0,13/12/2024,27/12/2024,Un (01) Año De Experiencia General En El Sector Publico O Privado. Tres(03) Meses De Experiencia Especifica En La Funcion O La Materia.,Secunaria Completa,Derecho De Transporte Y Pas En Infracciones De Transito,"Ley General De Transporte, Textoo Unico Ordenado De La Ley N° 27444, Ley Del Procedimiento Administrativo General.","Integridad, Autocontrol, Responsabilidad, Comunicacion Asertiva Y Trabajo En Equipo",Inspectores De Transporte,Municipalidad Provincial Del Callao,CALLAO - CALLAO,CALLAO,CALLAO,25-12-2024,02b61bee-3f2d-4337-a764-1c3357dad350,0,
