job_posting_url,vacancies,job_posting_number,salary,start_publication_date,end_publication_date,required_experience,educational_background,specialization,required_knowledge,skills,job_title,public_institution,unique_id,ubication,scraping_date,ubication_region,ubication_dist
https://aplicativo.pj.gob.pe/psep/,1,D.Leg 1057 - Determinado (Suplencia)-064,2972.0,25/10/2024,08/11/2024,"¿ EXPERIENCIA LABORAL GENERAL MÍNIMA DE DOS (02) AÑOS, EN EL
SECTOR PÚBLICO Y/O PRIVADO (ACREDITADO CON CERTIFICADO O
CONSTANCIA DE TRABAJO).
¿ EXPERIENCIA LABORAL ESPECIFICA MÍNIMA DE UN (01) AÑO EN LA
ESPECIALIDAD DEL SECTOR DE JUSTICIA. (ACREDITADO CON
CERTIFICADO O CONSTANCIA DE TRABAJO).","TÍTULO PROFESIONAL DE ABOGADO (A), CON COLEGIATURA Y HABILITACIÓN PROFESIONAL VIGENTE.",MAESTRÍA EN DERECHO PENAL Y/O DERECHO PROCESAL PENAL,CONOCIMIENTO DEL TRÁMITE DEL NUEVO CÓDIGO PROCESAL PENAL,¿ ADAPTABILIDAD ¿ DINAMISMO ¿ INICIATIVA ¿ CREATIVIDAD / INNOVACIÓN ¿ COMUNICACIÓN ORAL,ESPECIALISTA JUDICIAL DE JUZGADO,Poder Judicial,ef0a0f88-93ed-4654-b2aa-75be1eba850a,AYACUCHO - AYACUCHO,26-10-2024,AYACUCHO,AYACUCHO
https://www.gob.pe/regionayacucho,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-24,3500.0,25/10/2024,08/11/2024,"¿	EXPERIENCIA GENERAL: EN EL SECTOR PÚBLICO Y PRIVADO COMO MÍNIMO DE SIETE (07) AÑOS, SUSTENTAR CON COPIA DE CONTRATOS, RESOLUCIONES Y/O CONSTANCIAS O CERTIFICADOS DE TRABAJO.
¿	EXPERIENCIA ESPECÍFICA: EN EL SECTOR PÚBLICO COMO MÍNIMO DE CUATRO (04) AÑOS EN ÁREAS RELACIONADOS DEL SISTEMA ADMINISTRATIVO, SUSTENTAR CON COPIA DE CONTRATOS, RESOLUCIONES Y/O CONSTANCIAS O CERTIFICADOS DE TRABAJO",¿	GRADO DE BACHILLER EN CONTABILIDAD O ADMINISTRACIÓN Y/O ECONOMÍA,"¿	DIPLOMADO Y/O ESPECIALIZACIÓN EN CONTRATACIONES DEL ESTADO Y OTROS RELACIONADOS A GESTIÓN DE BIENES MUEBLES E INMUEBLES DEL ESTADO.  ¿	CAPACITACIÓN Y/O CERTIFICACIÓN EN TEMAS RELACIONADOS A:  - SIAF – SIGA 300 HORAS - RECURSOS HUMANOS 300 HORAS - GESTIÓN TESORERÍA 300 HORAS  CON UNA ANTIGÜEDAD NO MAYOR A 04 AÑOS, ACREDITAR CON COPIA DE CERTIFICADOS Y/O CONSTANCIAS.",.S/R,PROACTIVO Y TRABAJO BAJO PRESION,01 ESPECIALISTA ADMINISTRATIVO (SIGLA – ORADM - 01).,Gobierno Regional Ayacucho,9fa92528-db99-43aa-a6c4-fda001785627,AYACUCHO - AYACUCHO,26-10-2024,AYACUCHO,AYACUCHO
https://www.gob.pe/institucion/sunarp/colecciones/2210-concursos-publicos-de-meritos-plazas-cas-zona-registral-n-xiv,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-021,4000.0,25/10/2024,08/11/2024,"EXPERIENCIA GENERAL: 3 AÑOS
EXPERIENCIA ESPECIFICA: 3 AÑOS
EXPERIENCIA ESPECIFICA EN EL SECTOR PUBLICO: 2 AÑOS
PUESTO MINIMO: AUXILIAR O ASISTENTE","TITULADO EN LA CARRERA PROFESIONAL DE DERECHO, CON COLEGIATURA Y HABILITACIÓN PROFESIONAL VIGENTE",- DERECHO ADMINISTRATIVO. - CONTRATACIONES DE ESTADO O GESTIÓN PÚBLICA.,- CONOCIMIENTO EN DERECHO ADMINISTRATIVO. - CONOCIMIENTO EN CONTRATACIONES DEL ESTADO. - CONOCIMIENTO EN PROCEDIMIENTO ADMINISTRATIVO DISCIPLINARIO.,"TOLERANCIA A LA PRESIÓN, COMPROMISO CON LA ORGANIZACIÓN Y RESPONSABILIDAD CON EL TRABAJO ORIENTACIÓN AL TRABAJO.",ABOGADO PARA LA UNIDAD DE ASESORIA JURIDICA,Zona Registral N° Xiv-Sede Ayacucho,b30677a2-dbe2-403f-a845-96b3a9fd1744,AYACUCHO - AYACUCHO,26-10-2024,AYACUCHO,AYACUCHO
https://portal.mpfn.gob.pe/convoca/convocatorias,1,728-041,4672.11,25/10/2024,08/11/2024,"- 02 AÑOS DE EXPERIENCIA PROFESIONAL GENERAL
- 01 AÑO DE EXPERIENCIA PROFESIONAL ESPECÍFICA EN EL SECTOR PÚBLICO",BACHILLER UNIVERSITARIO EN LA CARRERA DE DERECHO,CURSOS INDISPENSABLE EN DERECHO PENAL O NUEVO CÓDIGO PROCESAL PENAL.  NO MENOR A (12) HORAS ACADÉMICAS. ACUMULABLE.,TEXTO ÚNICO ORDENADO DE LA LEY DEL PROCEDIMIENTO ADMINISTRATIVO GENERAL (LEY N°27444) Y REDACCIÓN JURÍDICA,VOCACIÓN DE SERVICIO. ORIENTACIÓN A RESULTADOS. TRABAJO EN EQUIPO. COMUNICACIÓN ASERTIVA,ASISTENTE EN FUNCIÓN FISCAL,Ministerio Publico-Gerencia General,0936a052-d3b1-41ad-a2a8-27d6c1e2e5a9,AYACUCHO - SARA SARA,26-10-2024,AYACUCHO,SARA SARA
https://portal.mpfn.gob.pe/convoca/convocatorias,1,728-041,3901.11,25/10/2024,08/11/2024,01 AÑO DE EXPERIENCIA LABORAL GENERAL,ESTUDIANTE UNIVERSITARIO A PARTIR DEL 4° AÑO (8 CICLO) EN LAS CARRERAS DE DERECHO,"CONTAR CON CURSOS, TALLERES, SEMINARIOS EN DERECHO PENAL O NUEVO CÓDIGO PROCESAL PENAL, NO MENOR A (12) HORAS ACADEMICAS,ACUMULABLE",- TEXTO ÚNICO ORDENADO DE LA LEY DEL PROCEDIMIENTO ADMINISTRATIVO GENERAL (LEY N°27444) Y REDACCIÓN JURIDICA,- VOCACIÓN DE SERVICIO - ORIENTACIÓN A RESULTADOS - TRABAJO EN EQUIPO / COOPERACIÓN - COMUNICACIÓN ASERTIVA,ASISTENTE ADMINISTRATIVO,Ministerio Publico-Gerencia General,88a5c03e-6484-4eb9-8a00-7556ad7bc1b5,AYACUCHO - AYACUCHO,26-10-2024,AYACUCHO,AYACUCHO
https://portal.mpfn.gob.pe/convoca/convocatorias,1,728-041,4672.11,25/10/2024,08/11/2024,02 AÑOS DE EXPERIENCIA PROFESIONAL GENERAL. 01 AÑO DE EXPERIENCIA PROFESIONAL ESPECÍFICA. 01 AÑO DE EXPERIENCIA EN EL SECTOR PÚBLICO.,BACHILLER UNIVERSITARIO EN LA CARRERA DE DERECHO,CURSOS INDISPENSABLE EN DERECHO PENAL O NUEVO CÓDIGO PROCESAL PENAL.  NO MENOR A (12) HORAS ACADÉMICAS. ACUMULABLE.,TEXTO ÚNICO ORDENADO DE LA LEY DEL PROCEDIMIENTO ADMINISTRATIVO GENERAL (LEY N°27444) Y REDACCIÓN JURÍDICA,VOCACIÓN DE SERVICIO. ORIENTACIÓN A RESULTADOS. TRABAJO EN EQUIPO. COMUNICACIÓN ASERTIVA,ASISTENTE EN FUNCION FISCAL,Ministerio Publico-Gerencia General,4bba86be-a4ac-4959-a469-279560cb0557,AYACUCHO - AYNA,26-10-2024,AYACUCHO,AYNA
https://www.facebook.com/MunicipalidadDistritaldeSocos,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-001,2400.0,24/10/2024,07/11/2024,EXPERIENCIA  DE DOS (02) AÑOS DE EXPERIENCIA EN LA ADMINISTRACION PUBLICA,TITULO UNIVERSITARIO Y/O BACHILLER EN LA CARRERA DE CONTABILIDAD,CAPACITACION DE CONTABILIDAD GUBERNAMENTAL,"MANEJO DE HERRAMIENTAS DE OFIMATICA, MANEJO INTERMEDIO DEL SIAF","ORGANIZACION Y PLANIFICACION, COMUNICACION EFECTIVA Y BUENA ATENCION AL CIUDADANO",JEFE DE LA UNIDAD DE CONTABILIDAD,Municipalidad Distrital De Socos,b2472784-9ede-4009-80e7-595b5d5af969,AYACUCHO - SOCOS,26-10-2024,AYACUCHO,SOCOS
https://www.facebook.com/MunicipalidadDistritaldeSocos,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-001,2400.0,24/10/2024,07/11/2024,EXPERIENCIA MAYOR  A TRES (03) AÑOS EN EL EJERCICIO DE LA PROFESION,"TITULO UNIVERSITARIO Y/O BACHILLER EN LAS CARRERAS DE ADMINISTRACION, CONTABILIDAD, ECONOMIA","PLANIFICACION, PRESUPUESTO E INVERSION PUBLICA",OPERAR SOFTWARE APLICATIVO A LA FUNCION ASIGNADA,"ORGANIZACION Y PLANIFICACION, PENSAMIENTO ESTRATEGICO, COMUNICACION EFECTIVA Y BUENA ATENCION AL CIUDADANO",JEFE DE LA OFICINA DE PLANIFICACION Y PRESUPUESTO,Municipalidad Distrital De Socos,9456caef-1ce0-41a4-be6d-8a4992d9cec9,AYACUCHO - SOCOS,26-10-2024,AYACUCHO,SOCOS
https://www.facebook.com/MunicipalidadDistritaldeSocos,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-001,2400.0,24/10/2024,07/11/2024,EXPERIENCIA DE 02 AÑOS EN LA PRESTACION  DE SERVICIOS EN LA ADMINISTRACION PUBLICA,"TITULO PROFESIONAL Y/O BACHILLER EN LA CARRERA DE ADMINISTRACION, CONTABILIDAD, ECONOMIA","CAPACITACION EN CONTRATACION ESTATALES, CONTAR CON CERTIFICACION DE OSCE","MANEJO INTERMEDIO DE SIAF, SEACE Y OFIMATICA","ORGANIZACION Y PLANIFICACION, PENSAMIENTO ESTRATEGICO, COMUNICACION EFECTIVA Y BUENA ATENCION AL CIUDADANO",JEFE DE LA UNIDAD DE LOGISTICA,Municipalidad Distrital De Socos,cbfd26dd-c0e6-48f6-a690-291d0c638653,AYACUCHO - SOCOS,26-10-2024,AYACUCHO,SOCOS
https://www.facebook.com/MunicipalidadDistritaldeSocos,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-001,2400.0,24/10/2024,07/11/2024,EXPERIENCIA DE UN (01) AÑO EN LABORES ACORDE AL CARGO,TITULO UNIVERSITARIO Y/O BACHILLER EN CONTABILIDAD Y/O ADMINISTRACION.,CAPACITACION ESPECIALIZADA ACREDITADA EN TESORERIA,EN EL SISTEMA INTEGRADO DE ADMINISTRACION FINANCIERA (SIAF),"PENSAMIENTO ESTRATEGICO, ORGANIZACION Y PLANIFICACION,COMUNICACION EFECTIVA Y BUENA ATENCION AL CIUDADANO",JEFE DE LA UNIDAD DE TESORERIA,Municipalidad Distrital De Socos,13ce3109-4b9c-45a3-9fa4-221bc812c521,AYACUCHO - SOCOS,26-10-2024,AYACUCHO,SOCOS
