position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
"AUXILIAR DE ABASTECIMIENTO
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,800.00",07/10/2024,21/10/2024,681f5be3-8908-4ee1-a58a-232bee21d26e
"ESPECIALISTA DE CONTABILIDAD
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 3,000.00",07/10/2024,21/10/2024,b618b98c-46df-43bc-8ce7-c0e0dbda6fda
"FISCALIZADOR.
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,000.00",07/10/2024,21/10/2024,244853b2-72a6-4f2b-ae3e-52cbfa9f7596
"GERENTE DE INSTITUTO VIAL PROVINCIAL.
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 5,100.00",07/10/2024,21/10/2024,d883bc9a-7faf-42be-8401-8e6ef1c36c39
"COTIZADOR
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 3,000.00",07/10/2024,21/10/2024,829042bb-5cc1-438b-9ef6-6f459b71aa4c
"TÉCNICO ADMINISTRATIVO DE ALMACÉN
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,000.00",07/10/2024,21/10/2024,6c724147-f4df-4a66-9072-044d64e9218b
"JEFE DE OFICINA DE TECNOLOGIA DE LA INFORMACIÓN.
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 3,000.00",07/10/2024,21/10/2024,1073f371-edeb-4c17-a90d-2c582e87ca71
"TECNICO ADMINISTRATIVO III
",UNIDAD DE GESTION EDUCATIVA LOCAL DE UTCUBAMBA - UGEL-UTCUBAMBA,AMAZONAS - BAGUA GRANDE,276-13,1,"S/. 2,088.45",04/10/2024,18/10/2024,955e43ad-739b-4181-a843-eb6e58eef61d
"ANALISTA EN GESTION DE RIESGO DE DESASTRES
",INSTITUTO NACIONAL DE DEFENSA CIVIL,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-311,1,"S/. 4,000.00",03/10/2024,17/10/2024,1819a676-6fdc-4110-9548-c97e1f5f345f
"GESTORES LOCALES PARA LA UNIDAD TERRITORIAL AMAZONAS CONDORCANQUI
",PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-236,3,"S/. 2,000.00",01/10/2024,15/10/2024,666cce77-1740-41b5-8e73-0783b43b8d1b
"APOYO ADMINISTRATIVO TECNICO EN LA GERENCIA DE INFRAESTRUCTURA Y DESARROLLO TERRITORIAL
",MUNICIPALIDAD DISTRITAL DE OMIA,AMAZONAS - OMIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 2,500.00",01/10/2024,15/10/2024,1b678d86-e504-4246-9be8-07fabb888299
"TECNICO EN INFRAESTRUCTURA
",PROGRAMA NACIONAL CUNA MAS,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1183,1,"S/. 4,114.19",01/10/2024,15/10/2024,2883c970-6a27-4c88-9d57-241b62f60178
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE ACOMPAÑAMIENTO A FAMILIAS
",PROGRAMA NACIONAL CUNA MAS,AMAZONAS - JUMBILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1148,1,"S/. 3,014.19",01/10/2024,15/10/2024,268d212b-f0df-4dd9-a235-23466b9d8e8b
"ESPECIALISTA EN EQUIPAMIENTO
",PROGRAMA NACIONAL CUNA MAS,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1177,1,"S/. 3,514.19",01/10/2024,15/10/2024,f44f413a-df2b-4fad-b745-089c82c21bfb
"ASISTENTE ADMINISTRATIVO DEL CENTRO DE ATENCIÓN AL CIUDADANO DE AMAZONAS
","MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-423,1,"S/. 3,000.00",01/10/2024,15/10/2024,a303ba9a-fa5f-4442-9300-852938c66190
"CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) AUXILIAR MONITOR DE RESIDENCIA PARA EL COLEGIO DE ALTO RENDIMIENTO DE LA REGIÓN AMAZONAS - SUPLENCIA TEMPORAL (007069)
",MINISTERIO DE EDUCACION,AMAZONAS - LAMUD,D.LEG 1057 - DETERMINADO (SUPLENCIA)-775,1,"S/. 2,500.00",27/09/2024,11/10/2024,d9117192-158e-400a-93f2-fcb4816a7e22
"RESPONSABLE DE TRABAJO SOCIAL
",MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,AMAZONAS - BAGUA GRANDE,D.LEG 1057 - DETERMINADO (SUPLENCIA)-866,1,"S/. 4,114.19",26/09/2024,10/10/2024,7aa959b8-f2ea-41e5-902e-727b95355702
"DEFENSOR PUBLICO DE DEFENSA DE VÍCTIMAS / ASISTENCIA LEGAL PARA DIRECCION GENERAL DE DEFENSA PUBLICA Y ACCESO A LA JUSTICIA (AMAZONAS)
",MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-845,1,"S/. 5,114.19",26/09/2024,10/10/2024,3d18a4d4-0b4f-42af-a815-cb9c8a716694
"DIRECTOR REGIONAL IIAP AMAZONAS.
",INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-47,1,"S/. 8,197.19",25/09/2024,09/10/2024,85973a12-380c-468b-a467-c9f2f097d97e
"ANALISTA LEGAL
",DEFENSORIA DEL PUEBLO,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-87,2,"S/. 3,500.00",24/09/2024,07/10/2024,363e1f98-0023-4358-aa39-8af1ea26a523
"ANALISTA LEGAL
",DEFENSORIA DEL PUEBLO,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-117,1,"S/. 3,045.00",24/09/2024,07/10/2024,eed2dfdf-fcfb-47bd-818d-edac84c01ac2
"GESTOR DE COBRANZA
",MUNICIPALIDAD PROVINCIAL DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 1,954.00",07/10/2024,21/10/2024,35d3bfa9-751b-4b15-85fd-397cc51ce0e6
"OPERADOR DE PLATAFORMA
",MUNICIPALIDAD PROVINCIAL DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-032,1,"S/. 1,700.00",07/10/2024,21/10/2024,ee931782-adab-47c2-a411-4c8840fb90d2
"INGENIERO CIVIL
",CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL SOCIEDAD ANONIMA - CORPAC S.A.,CALLAO - CALLAO,728-055,1,"S/. 3,900.00",04/10/2024,18/10/2024,dee4cbad-c42e-4986-bbe6-a9499772c4e6
"ABOGADO
",CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL SOCIEDAD ANONIMA - CORPAC S.A.,CALLAO - CALLAO,728-054,1,"S/. 3,900.00",04/10/2024,18/10/2024,7b6fe4b4-eb78-487f-89c8-2f14db528249
"PSICOLOGO
",UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-41,1,"S/. 2,614.19",03/10/2024,17/10/2024,12a9da38-3542-4169-bd79-1d411dba16a9
"ESPECIALISTA EN CONTRATACIONES DEL ESTADO
",UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-051,1,"S/. 5,500.00",03/10/2024,17/10/2024,66c6b2f4-e4a4-4196-80ba-49b73214eb6e
"ESPECIALISTA JUDICIAL DE JUZGADO
",UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-051,1,"S/. 3,850.00",03/10/2024,17/10/2024,7a3c1533-6304-418a-b90a-7453f1362810
"ANALISTA LEGAL DE RECURSOS HUMANOS
",GOBIERNO REGIONAL DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-039,1,"S/. 7,000.00",02/10/2024,16/10/2024,b191c889-6eb3-4ebc-bbb6-2c698aa01da1
